Y \ X,0,100,200,300,400,500,600,700,800,900
0,64491.82,61931.82,59983.33,52514.75,58640.75,62961.04,63588.83,59856.65,47036.32,56910.24
100,50762.05,57581.66,61077.91,67520.13,65543.22,64626.01,69610.57,63574.39,68390.01,67541.75
200,56030.66,62574.13,65910.82,52257.34,41013.93,74060.88,72592.07,74509.51,71953.06,69638.42
300,59480.83,64474.38,72918.86,58225.51,71328.50,69216.76,74794.99,73420.13,51393.64,62140.05
400,32684.33,71758.19,74050.82,74375.30,70897.52,60552.87,60703.53,36199.75,56030.79,67438.07
500,66531.29,71799.78,72666.10,70177.67,71136.57,65150.26,64660.64,54574.77,46999.25,74877.20
600,54574.74,69779.35,66096.60,72047.90,72709.06,73569.65,74155.57,71030.54,62720.99,71393.24
700,57265.70,63235.22,56114.26,66827.30,68931.82,50003.71,72026.97,71491.55,73445.57,72374.96
800,57822.07,63422.15,62890.18,64993.29,58398.44,68175.65,47671.35,70380.97,71412.09,69600.23
900,57880.00,69246.72,60283.71,63583.40,68652.81,67310.91,52589.47,72841.48,72914.82,71674.95
